task_id,title,status,priority,entity_id,entity_name,entity_type,entity_health,description,full_context_json,context_category,context_expected_impact,context_problem,context_product,context_solution,context_subcategory
task_active_monitoring_1,Assign monitoring ownership rota,todo,critical,sub_active_monitoring,Active Monitoring,subcategory,red,Daily owner + escalation runbook.,"{""category"": ""Monitoring & Observability"", ""expected_impact"": ""Earlier incident detection."", ""problem"": ""No clear owner for daily monitoring."", ""product"": ""P-Zerø"", ""solution"": ""Rota with escalation protocol."", ""subcategory"": ""Active Monitoring""}",Monitoring & Observability,Earlier incident detection.,No clear owner for daily monitoring.,P-Zerø,Rota with escalation protocol.,Active Monitoring
task_data_versioning_2,Attach dataset version to training runs,todo,critical,sub_data_versioning,Data Versioning,subcategory,red,Require version IDs in training metadata.,"{""category"": ""Data Management"", ""expected_impact"": ""End-to-end traceability."", ""problem"": ""Model runs cannot be traced to exact data."", ""product"": ""P-Zerø"", ""solution"": ""Validation gate in training config."", ""subcategory"": ""Data Versioning""}",Data Management,End-to-end traceability.,Model runs cannot be traced to exact data.,P-Zerø,Validation gate in training config.,Data Versioning
task_historical_perf_1,Backfill historical performance store,todo,critical,sub_historical_perf,Historical Performance Tracking,subcategory,red,Consolidate prior metrics by model/site/release.,"{""category"": ""Performance & Evaluation"", ""expected_impact"": ""Regression detection and ROI tracking."", ""problem"": ""History is fragmented."", ""product"": ""P-Zerø"", ""solution"": ""Central historical dataset."", ""subcategory"": ""Historical Performance Tracking""}",Performance & Evaluation,Regression detection and ROI tracking.,History is fragmented.,P-Zerø,Central historical dataset.,Historical Performance Tracking
task_model_versioning_1,Create model registry spec,todo,critical,sub_model_versioning,Model Versioning,subcategory,red,"Store artifact URI, config hash, dataset version, metrics.","{""category"": ""Modeling & Training"", ""expected_impact"": ""Safer deploy and rollback."", ""problem"": ""No standard model registry."", ""product"": ""P-Zerø"", ""solution"": ""Registry schema + required fields."", ""subcategory"": ""Model Versioning""}",Modeling & Training,Safer deploy and rollback.,No standard model registry.,P-Zerø,Registry schema + required fields.,Model Versioning
task_cross_site_exp_1,Define cross-site metric pack,todo,critical,sub_cross_site_exp,Cross-Site Experimentation,subcategory,red,Shared metrics and normalization across sites.,"{""category"": ""Experimentation & Development"", ""expected_impact"": ""Comparable site evaluations."", ""problem"": ""Metrics vary by site."", ""product"": ""P-Zerø"", ""solution"": ""Single metric protocol."", ""subcategory"": ""Cross-Site Experimentation""}",Experimentation & Development,Comparable site evaluations.,Metrics vary by site.,P-Zerø,Single metric protocol.,Cross-Site Experimentation
task_pricing_1,Define tiered pricing model,todo,critical,sub_pricing,Pricing System,subcategory,blue,"Price by site count, SLA tier, support level.","{""category"": ""Business Layer"", ""expected_impact"": ""Predictable margins and sales process."", ""problem"": ""Pricing is inconsistent."", ""product"": ""P-Zerø"", ""solution"": ""Standard tier model."", ""subcategory"": ""Pricing System""}",Business Layer,Predictable margins and sales process.,Pricing is inconsistent.,P-Zerø,Standard tier model.,Pricing System
task_data_versioning_1,Enforce immutable dataset snapshots,todo,critical,sub_data_versioning,Data Versioning,subcategory,red,Create dataset version IDs + manifests.,"{""category"": ""Data Management"", ""expected_impact"": ""Reproducible experiments."", ""problem"": ""Datasets are overwritten."", ""product"": ""P-Zerø"", ""solution"": ""Immutable snapshot policy."", ""subcategory"": ""Data Versioning""}",Data Management,Reproducible experiments.,Datasets are overwritten.,P-Zerø,Immutable snapshot policy.,Data Versioning
task_payment_1,Select billing/payment stack,todo,critical,sub_payment,Payment System,subcategory,blue,Choose invoicing/payment tooling and integration path.,"{""category"": ""Business Layer"", ""expected_impact"": ""Reliable collections and reduced admin load."", ""problem"": ""Manual payment operations."", ""product"": ""P-Zerø"", ""solution"": ""Integrated billing system."", ""subcategory"": ""Payment System""}",Business Layer,Reliable collections and reduced admin load.,Manual payment operations.,P-Zerø,Integrated billing system.,Payment System
task_alerts_anomaly_1,Set baseline anomaly thresholds,todo,critical,sub_alerts_anomaly,Alerts & Anomaly Detection,subcategory,red,Per-site/model thresholds and false-positive tracking.,"{""category"": ""Monitoring & Observability"", ""expected_impact"": ""Higher signal-to-noise in alerts."", ""problem"": ""Alerts are noisy or missing."", ""product"": ""P-Zerø"", ""solution"": ""Calibrated thresholds."", ""subcategory"": ""Alerts & Anomaly Detection""}",Monitoring & Observability,Higher signal-to-noise in alerts.,Alerts are noisy or missing.,P-Zerø,Calibrated thresholds.,Alerts & Anomaly Detection
task_payment_2,Add monthly reconciliation workflow,todo,high,sub_payment,Payment System,subcategory,blue,"Track invoices, payments, and exceptions with status.","{""category"": ""Business Layer"", ""expected_impact"": ""Lower leakage and better financial visibility."", ""problem"": ""No standard reconciliation loop."", ""product"": ""P-Zerø"", ""solution"": ""Operational finance workflow."", ""subcategory"": ""Payment System""}",Business Layer,Lower leakage and better financial visibility.,No standard reconciliation loop.,P-Zerø,Operational finance workflow.,Payment System
task_active_monitoring_2,Automate daily health digest,todo,high,sub_active_monitoring,Active Monitoring,subcategory,red,"Generate summary of quality, failures, anomalies.","{""category"": ""Monitoring & Observability"", ""expected_impact"": ""Consistent operational awareness."", ""problem"": ""Signal review is inconsistent."", ""product"": ""P-Zerø"", ""solution"": ""Daily automated digest."", ""subcategory"": ""Active Monitoring""}",Monitoring & Observability,Consistent operational awareness.,Signal review is inconsistent.,P-Zerø,Daily automated digest.,Active Monitoring
task_cross_site_exp_2,Build site abstraction layer,todo,high,sub_cross_site_exp,Cross-Site Experimentation,subcategory,red,Decouple site-specific parameters from experiment logic.,"{""category"": ""Experimentation & Development"", ""expected_impact"": ""Faster rollout of winning experiments."", ""problem"": ""Site assumptions are hardcoded."", ""product"": ""P-Zerø"", ""solution"": ""Reusable site profile abstraction."", ""subcategory"": ""Cross-Site Experimentation""}",Experimentation & Development,Faster rollout of winning experiments.,Site assumptions are hardcoded.,P-Zerø,Reusable site profile abstraction.,Cross-Site Experimentation
task_historical_perf_2,Create trend dashboards,todo,high,sub_historical_perf,Historical Performance Tracking,subcategory,red,Visualize long-term quality trends and release markers.,"{""category"": ""Performance & Evaluation"", ""expected_impact"": ""Faster strategic decisions."", ""problem"": ""No common trend view."", ""product"": ""P-Zerø"", ""solution"": ""Longitudinal dashboards."", ""subcategory"": ""Historical Performance Tracking""}",Performance & Evaluation,Faster strategic decisions.,No common trend view.,P-Zerø,Longitudinal dashboards.,Historical Performance Tracking
task_model_versioning_2,Gate deploys on model registry entry,todo,high,sub_model_versioning,Model Versioning,subcategory,red,Block release if registry metadata is incomplete.,"{""category"": ""Modeling & Training"", ""expected_impact"": ""Higher production confidence."", ""problem"": ""Untracked models can be deployed."", ""product"": ""P-Zerø"", ""solution"": ""Release guardrails."", ""subcategory"": ""Model Versioning""}",Modeling & Training,Higher production confidence.,Untracked models can be deployed.,P-Zerø,Release guardrails.,Model Versioning
task_alerts_anomaly_2,Implement routing + acknowledgements,todo,high,sub_alerts_anomaly,Alerts & Anomaly Detection,subcategory,red,Route to owners with ack/escalation states.,"{""category"": ""Monitoring & Observability"", ""expected_impact"": ""Faster response times."", ""problem"": ""Alerts don't reliably reach owners."", ""product"": ""P-Zerø"", ""solution"": ""Owner-based routing and ack flow."", ""subcategory"": ""Alerts & Anomaly Detection""}",Monitoring & Observability,Faster response times.,Alerts don't reliably reach owners.,P-Zerø,Owner-based routing and ack flow.,Alerts & Anomaly Detection
task_pricing_2,Link pricing to measured value,todo,high,sub_pricing,Pricing System,subcategory,blue,Tie pricing narrative to performance/business KPIs.,"{""category"": ""Business Layer"", ""expected_impact"": ""Stronger customer negotiations."", ""problem"": ""Weak value-based pricing evidence."", ""product"": ""P-Zerø"", ""solution"": ""Performance-to-value KPI mapping."", ""subcategory"": ""Pricing System""}",Business Layer,Stronger customer negotiations.,Weak value-based pricing evidence.,P-Zerø,Performance-to-value KPI mapping.,Pricing System
